iter	Passed	Remaining
0	622	621968
1	1017	507730
2	1388	461387
3	1767	440055
4	2138	425510
5	2514	416637
6	2940	417106
7	3320	411764
8	3696	406977
9	4063	402290
10	4450	400137
11	4879	401757
12	5240	397893
13	5633	396757
14	5989	393302
15	6343	390099
16	6706	387767
17	7056	384974
18	7415	382848
19	7768	380637
20	8125	378781
21	8477	376847
22	8834	375264
23	9189	373699
24	9548	372378
25	9906	371119
26	10264	369896
27	10618	368602
28	11037	369576
29	11380	367963
30	11734	366799
31	12091	365779
32	12453	364937
33	12859	365360
34	13223	364586
35	13585	363783
36	13936	362727
37	14291	361789
38	14649	360974
39	15002	360060
40	15364	359381
41	15734	358890
42	16084	357971
43	16448	357382
44	16802	356590
45	17166	356016
46	17523	355309
47	17874	354508
48	18227	353755
49	18590	353217
50	18946	352549
51	19295	351771
52	19663	351341
53	20017	350684
54	20375	350089
55	20737	349577
56	21098	349052
57	21455	348462
58	21809	347847
59	22165	347262
60	22520	346662
61	22870	346013
62	23223	345397
63	23577	344823
64	23932	344260
65	24287	343708
66	24645	343203
67	24998	342628
68	25361	342195
69	25713	341626
70	26073	341164
71	26434	340713
72	26795	340260
73	27150	339748
74	27505	339238
75	27862	338746
76	28215	338216
77	28567	337679
78	28930	337281
79	29282	336752
80	29651	336419
81	30004	335907
82	30364	335475
83	30732	335129
84	31092	334705
85	31448	334229
86	31805	333778
87	32161	333313
88	32514	332815
89	32875	332405
90	33240	332041
91	33593	331556
92	33949	331098
93	34306	330658
94	34662	330204
95	35016	329740
96	35371	329286
97	35733	328891
98	36085	328414
99	36442	327979
100	36804	327594
101	37157	327128
102	37517	326731
103	37865	326227
104	38222	325804
105	38583	325410
106	38943	325013
107	39294	324546
108	39650	324114
109	40004	323676
110	40356	323213
111	40709	322770
112	41069	322379
113	41421	321924
114	41772	321464
115	42131	321067
116	42492	320693
117	42856	320333
118	43209	319897
119	43568	319504
120	43924	319091
121	44277	318651
122	44640	318290
123	44999	317902
124	45354	317478
125	45710	317069
126	46065	316652
127	46418	316224
128	46772	315802
129	47133	315433
130	47489	315023
131	47846	314625
132	48197	314188
133	48552	313777
134	48907	313367
135	49261	312956
136	49618	312559
137	49972	312148
138	50339	311812
139	50692	311393
140	51046	310985
141	51405	310605
142	51763	310219
143	52117	309807
144	52469	309387
145	52824	308989
146	53176	308570
147	53530	308160
148	53884	307756
149	54237	307346
150	54592	306949
151	54953	306580
152	55309	306187
153	55662	305784
154	56019	305396
155	56372	304988
156	56726	304589
157	57084	304210
158	57439	303814
159	57794	303423
160	58161	303089
161	58515	302693
162	58876	302328
163	59233	301945
164	59595	301589
165	59951	301200
166	60302	300788
167	60664	300435
168	61016	300026
169	61374	299651
170	61731	299272
171	62086	298882
172	62439	298482
173	62795	298096
174	63149	297702
175	63504	297317
176	63855	296910
177	64209	296518
178	64568	296151
179	64920	295748
180	65282	295393
181	65633	294990
182	65990	294611
183	66344	294224
184	66706	293870
185	67061	293486
186	67416	293099
187	67770	292712
188	68126	292329
189	68517	292101
190	68873	291721
191	69231	291347
192	69585	290960
193	69938	290571
194	70296	290199
195	70656	289833
196	71009	289445
197	71372	289096
198	71726	288707
199	72075	288300
200	72436	287942
201	72799	287596
202	73161	287241
203	73515	286854
204	73874	286487
205	74226	286094
206	74584	285726
207	74938	285343
208	75299	284986
209	75653	284602
210	76038	284332
211	76408	284008
212	76766	283640
213	77133	283302
214	77488	282923
215	77844	282548
216	78207	282196
217	78560	281808
218	78927	281471
219	79277	281073
220	79633	280698
221	79987	280317
222	80339	279926
223	80692	279542
224	81045	279158
225	81398	278772
226	81756	278403
227	82107	278012
228	82466	277648
229	82823	277278
230	83178	276901
231	83534	276529
232	83892	276162
233	84242	275766
234	84599	275398
235	84952	275015
236	85310	274648
237	85665	274274
238	86017	273888
239	86371	273509
240	86723	273123
241	87088	272779
242	87440	272395
243	87795	272022
244	88156	271666
245	88512	271295
246	88869	270926
247	89223	270549
248	89577	270170
249	89929	269788
250	90286	269420
251	90653	269081
252	91012	268719
253	91362	268332
254	91723	267977
255	92074	267591
256	92426	267209
257	92780	266833
258	93130	266445
259	93482	266066
260	93840	265702
261	94197	265335
262	94553	264965
263	94912	264605
264	95270	264241
265	95621	263856
266	95974	263479
267	96339	263135
268	96693	262762
269	97045	262383
270	97398	262004
271	97756	261642
272	98118	261289
273	98470	260910
274	98825	260541
275	99173	260151
276	99531	259788
277	99885	259414
278	100241	259046
279	100594	258671
280	100951	258305
281	101305	257933
282	101663	257570
283	102014	257192
284	102368	256819
285	102725	256453
286	103085	256098
287	103440	255727
288	103796	255361
289	104154	254998
290	104508	254626
291	104863	254258
292	105216	253883
293	105567	253506
294	105930	253155
295	106289	252796
296	106643	252425
297	107001	252064
298	107373	251734
299	107732	251374
300	108082	250994
