iter	Passed	Remaining
0	146	145970
1	215	107302
2	286	95088
3	349	86915
4	386	76995
5	430	71371
6	472	66986
7	514	63790
8	547	60254
9	587	58145
10	625	56230
11	660	54414
12	699	53111
13	734	51763
14	767	50397
15	804	49502
16	839	48563
17	860	46972
18	898	46369
19	937	45953
20	971	45287
21	1009	44895
22	1044	44382
23	1079	43890
24	1113	43442
25	1149	43047
26	1184	42670
27	1224	42496
28	1259	42162
29	1293	41834
30	1335	41735
31	1367	41373
32	1401	41057
33	1431	40684
34	1465	40412
35	1498	40127
36	1528	39779
37	1561	39525
38	1595	39316
39	1629	39105
40	1658	38794
41	1693	38629
42	1724	38381
43	1760	38245
44	1792	38031
45	1823	37822
46	1856	37642
47	1888	37464
48	1923	37331
49	1959	37234
50	1995	37127
51	2026	36948
52	2066	36931
53	2104	36862
54	2137	36719
55	2171	36609
56	2207	36523
57	2242	36428
58	2275	36297
59	2308	36173
60	2340	36024
61	2373	35908
62	2403	35751
63	2439	35683
64	2476	35625
65	2513	35563
66	2545	35440
67	2573	35268
68	2604	35142
69	2634	35007
70	2669	34932
71	2700	34811
72	2730	34668
73	2767	34631
74	2799	34529
75	2829	34403
76	2866	34363
77	2905	34340
78	2945	34339
79	2986	34348
80	3032	34405
81	3067	34340
82	3102	34280
83	3138	34229
84	3172	34154
85	3205	34068
86	3244	34044
87	3279	33992
88	3312	33911
89	3349	33868
90	3382	33791
91	3418	33743
92	3454	33688
93	3491	33647
94	3529	33619
95	3564	33565
96	3600	33517
97	3638	33488
98	3670	33408
99	3703	33330
100	3738	33278
101	3771	33203
102	3803	33123
103	3839	33076
104	3874	33023
105	3908	32961
106	3946	32934
107	3981	32881
108	4016	32834
109	4053	32800
110	4088	32747
111	4124	32705
112	4162	32670
113	4196	32616
114	4236	32604
115	4269	32534
116	4303	32482
117	4338	32426
118	4370	32359
119	4406	32311
120	4440	32254
121	4472	32187
122	4506	32133
123	4542	32091
124	4577	32040
125	4613	31999
126	4646	31939
127	4679	31879
128	4712	31816
129	4745	31757
130	4782	31727
131	4821	31702
132	4855	31653
133	4889	31599
134	4926	31563
135	4961	31519
136	4995	31468
137	5031	31425
138	5063	31367
139	5098	31316
140	5130	31258
141	5165	31209
142	5197	31147
143	5233	31109
144	5269	31071
145	5302	31014
146	5339	30981
147	5373	30935
148	5405	30873
149	5442	30839
150	5477	30798
151	5507	30726
152	5546	30707
153	5580	30658
154	5610	30586
155	5646	30549
156	5685	30525
157	5719	30479
158	5755	30444
159	5790	30398
160	5823	30349
161	5859	30312
162	5892	30257
163	5928	30223
164	5962	30173
165	5995	30122
166	6027	30066
167	6072	30072
168	6112	30058
169	6150	30026
170	6183	29979
171	6220	29946
172	6254	29899
173	6287	29849
174	6324	29817
175	6358	29767
176	6391	29718
177	6424	29666
178	6459	29626
179	6492	29575
180	6529	29543
181	6564	29506
182	6599	29463
183	6640	29450
184	6676	29413
185	6710	29366
186	6747	29337
187	6782	29296
188	6818	29257
189	6858	29239
190	6898	29217
191	6941	29213
192	6978	29178
193	7014	29142
194	7051	29109
195	7083	29057
196	7117	29012
197	7163	29016
198	7207	29009
199	7242	28970
200	7278	28931
201	7313	28893
202	7352	28867
203	7386	28822
204	7420	28776
205	7456	28740
206	7494	28709
207	7531	28678
208	7563	28626
209	7596	28576
210	7635	28550
211	7671	28514
212	7703	28461
213	7741	28434
214	7776	28391
215	7813	28358
216	7850	28326
217	7882	28275
218	7917	28236
219	7955	28205
220	7990	28166
221	8025	28124
222	8078	28147
223	8114	28110
224	8152	28081
225	8187	28041
226	8223	28003
227	8260	27968
228	8295	27930
229	8333	27898
230	8369	27860
231	8402	27816
232	8440	27785
233	8475	27745
234	8511	27706
235	8549	27675
236	8583	27635
237	8617	27591
238	8654	27556
239	8690	27520
240	8727	27486
241	8763	27449
242	8799	27411
243	8835	27376
244	8870	27335
245	8905	27296
246	8943	27265
247	8975	27216
248	9011	27179
249	9049	27148
250	9085	27110
251	9121	27074
252	9155	27031
253	9191	26996
254	9227	26959
255	9263	26920
256	9296	26875
257	9328	26828
258	9364	26793
259	9398	26750
260	9436	26719
261	9472	26682
262	9505	26636
263	9543	26606
264	9580	26571
265	9614	26530
266	9653	26501
267	9689	26465
268	9724	26425
269	9762	26395
270	9797	26355
271	9831	26313
272	9868	26279
273	9903	26240
274	9940	26207
275	9974	26165
276	10007	26121
277	10047	26093
278	10082	26055
279	10118	26020
280	10159	25994
281	10192	25951
282	10228	25914
283	10265	25879
284	10300	25841
285	10338	25808
286	10374	25773
287	10406	25728
288	10441	25688
289	10479	25656
290	10514	25617
291	10553	25587
292	10588	25549
293	10622	25508
294	10660	25477
295	10696	25441
296	10734	25407
297	10768	25366
298	10801	25323
299	10839	25292
300	10874	25254
301	10908	25213
302	10944	25176
303	10977	25133
304	11012	25094
305	11052	25066
306	11085	25023
307	11119	24982
308	11156	24949
309	11191	24910
310	11228	24876
311	11267	24846
312	11301	24804
313	11336	24767
314	11369	24723
315	11406	24689
316	11444	24657
317	11478	24618
318	11512	24576
319	11548	24540
320	11583	24501
321	11616	24460
322	11656	24431
323	11692	24395
324	11727	24357
325	11765	24324
326	11797	24279
327	11828	24233
328	11863	24195
329	11896	24153
330	11930	24113
331	11967	24080
332	12002	24040
333	12036	24001
334	12074	23969
335	12110	23933
336	12145	23895
337	12180	23855
338	12213	23813
339	12258	23796
340	12315	23801
341	12372	23805
342	12425	23801
343	12461	23763
344	12496	23724
345	12523	23672
346	12560	23635
347	12594	23596
348	12622	23544
349	12659	23510
350	12702	23487
351	12745	23463
352	12788	23439
353	12822	23398
354	12853	23353
355	12887	23313
356	12926	23281
357	12962	23245
358	12998	23208
359	13027	23160
360	13064	23125
361	13096	23082
362	13132	23044
363	13167	23007
364	13203	22969
365	13236	22928
366	13274	22895
367	13306	22852
368	13336	22805
369	13375	22773
370	13408	22733
371	13437	22684
372	13468	22640
373	13502	22600
374	13535	22558
375	13572	22523
376	13602	22478
377	13634	22436
378	13671	22401
379	13703	22358
380	13733	22312
381	13772	22280
382	13803	22236
383	13834	22192
384	13867	22152
385	13900	22110
386	13933	22069
387	13966	22029
388	14001	21992
389	14037	21956
390	14068	21912
391	14103	21874
392	14137	21835
393	14168	21792
394	14201	21751
395	14233	21709
396	14265	21668
397	14297	21626
398	14331	21586
399	14369	21553
400	14401	21511
401	14432	21468
402	14464	21427
403	14500	21391
404	14533	21352
405	14565	21310
406	14598	21270
407	14631	21229
408	14663	21187
409	14698	21151
410	14724	21102
411	14757	21061
412	14795	21028
413	14832	20994
414	14868	20958
415	14907	20927
416	14951	20903
417	14993	20876
418	15036	20850
419	15076	20820
420	15111	20783
421	15146	20746
422	15185	20714
423	15232	20692
424	15280	20673
425	15325	20649
426	15364	20618
427	15409	20593
428	15452	20567
429	15504	20552
430	15550	20529
431	15584	20491
432	15626	20461
433	15666	20431
434	15701	20394
435	15739	20360
436	15780	20331
437	15823	20303
438	15857	20264
439	15892	20226
440	15933	20197
441	15969	20160
442	16005	20123
443	16040	20086
444	16074	20047
445	16110	20011
446	16146	19975
447	16181	19937
448	16216	19900
449	16254	19866
450	16290	19830
451	16332	19801
452	16369	19765
453	16405	19730
454	16439	19691
455	16473	19652
456	16508	19615
457	16542	19575
458	16578	19540
459	16614	19504
460	16652	19470
461	16688	19433
462	16722	19395
463	16757	19357
464	16790	19317
465	16829	19285
466	16864	19247
467	16898	19208
468	16934	19173
469	16970	19136
470	17004	19098
471	17042	19064
472	17076	19025
473	17111	18988
474	17151	18956
475	17187	18920
476	17225	18886
477	17260	18848
478	17292	18808
479	17329	18773
480	17364	18736
481	17401	18701
482	17441	18669
483	17475	18630
484	17507	18590
485	17545	18556
486	17582	18520
487	17623	18490
488	17659	18453
489	17695	18418
490	17733	18384
491	17766	18343
492	17801	18306
493	17836	18269
494	17872	18233
495	17907	18196
496	17944	18161
497	17979	18124
498	18014	18086
499	18047	18047
500	18081	18009
501	18122	17978
502	18157	17941
503	18189	17900
504	18222	17861
505	18260	17827
506	18296	17791
507	18336	17759
508	18371	17721
509	18403	17681
510	18440	17646
511	18474	17608
512	18509	17571
513	18547	17537
514	18581	17499
515	18614	17459
516	18654	17427
517	18689	17390
518	18724	17353
519	18759	17316
520	18802	17286
521	18853	17264
522	18900	17238
523	18948	17212
524	18987	17178
525	19021	17141
526	19057	17104
527	19092	17067
528	19131	17034
529	19167	16997
530	19203	16961
531	19241	16926
532	19274	16887
533	19308	16849
534	19344	16813
535	19379	16776
536	19416	16740
537	19460	16711
538	19509	16685
539	19552	16655
540	19586	16617
541	19621	16580
542	19660	16546
543	19697	16510
544	19733	16474
545	19771	16439
546	19807	16403
547	19841	16365
548	19879	16330
549	19912	16291
550	19947	16254
551	19985	16219
552	20020	16182
553	20056	16146
554	20090	16108
555	20124	16070
556	20161	16035
557	20197	15998
558	20232	15961
559	20270	15926
560	20305	15889
561	20338	15850
562	20374	15814
563	20406	15775
564	20440	15737
565	20480	15703
566	20514	15666
567	20550	15629
568	20585	15592
569	20621	15556
570	20658	15520
571	20694	15484
572	20730	15448
573	20768	15413
574	20800	15374
575	20837	15338
576	20873	15302
577	20909	15266
578	20944	15228
579	20980	15192
580	21017	15157
581	21053	15121
582	21090	15085
583	21126	15048
584	21164	15013
585	21197	14975
586	21232	14938
587	21269	14902
588	21302	14864
589	21335	14826
590	21369	14788
591	21401	14749
592	21435	14712
593	21469	14674
594	21503	14636
595	21536	14598
596	21574	14563
597	21609	14526
598	21647	14491
599	21687	14458
600	21720	14419
601	21758	14385
602	21792	14347
603	21828	14311
604	21864	14275
605	21898	14237
606	21931	14199
607	21970	14165
608	22006	14129
609	22042	14092
610	22078	14056
611	22110	14017
612	22144	13980
613	22184	13946
614	22217	13908
615	22249	13869
616	22288	13835
617	22323	13798
618	22357	13761
619	22394	13725
620	22426	13687
621	22463	13651
622	22498	13614
623	22532	13577
624	22570	13542
625	22604	13504
626	22637	13466
627	22672	13430
628	22708	13394
629	22743	13357
630	22779	13321
631	22812	13283
632	22847	13246
633	22885	13211
634	22920	13174
635	22954	13137
636	22989	13100
637	23024	13064
638	23060	13027
639	23095	12991
640	23128	12953
641	23166	12918
642	23203	12882
643	23236	12845
644	23275	12810
645	23316	12777
646	23352	12740
647	23391	12706
648	23424	12668
649	23461	12632
650	23497	12596
651	23531	12560
652	23570	12525
653	23604	12487
654	23636	12449
655	23674	12414
656	23714	12380
657	23749	12344
658	23786	12308
659	23819	12270
660	23853	12233
661	23891	12198
662	23928	12162
663	23963	12126
664	23999	12089
665	24033	12053
666	24074	12019
667	24108	11982
668	24144	11945
669	24181	11910
670	24216	11873
671	24252	11837
672	24292	11803
673	24325	11765
674	24359	11728
675	24395	11692
676	24430	11656
677	24466	11619
678	24507	11585
679	24543	11549
680	24579	11513
681	24613	11476
682	24647	11439
683	24683	11403
684	24719	11367
685	24753	11330
686	24790	11294
687	24824	11257
688	24861	11222
689	24896	11185
690	24930	11148
691	24967	11112
692	25008	11078
693	25043	11042
694	25080	11006
695	25112	10968
696	25146	10931
697	25185	10897
698	25220	10860
699	25255	10823
700	25292	10788
701	25328	10752
702	25365	10716
703	25402	10680
704	25434	10642
705	25469	10606
706	25504	10569
707	25539	10533
708	25576	10497
709	25609	10460
710	25645	10424
711	25683	10388
712	25717	10351
713	25751	10315
714	25789	10279
715	25826	10243
716	25862	10207
717	25901	10172
718	25935	10136
719	25968	10099
720	26006	10063
721	26043	10027
722	26083	9993
723	26126	9959
724	26163	9923
725	26199	9887
726	26234	9851
727	26270	9815
728	26304	9778
729	26338	9741
730	26373	9705
731	26404	9667
732	26441	9631
733	26475	9594
734	26512	9558
735	26542	9520
736	26578	9484
737	26612	9447
738	26644	9410
739	26683	9375
740	26717	9338
741	26753	9302
742	26790	9266
743	26825	9230
744	26862	9194
745	26900	9158
746	26940	9124
747	26976	9088
748	27011	9051
749	27045	9015
750	27081	8979
751	27117	8942
752	27147	8904
753	27185	8869
754	27220	8833
755	27258	8797
756	27296	8762
757	27328	8724
758	27366	8689
759	27402	8653
760	27437	8617
761	27472	8580
762	27509	8544
763	27544	8508
764	27576	8471
765	27607	8433
766	27642	8397
767	27679	8361
768	27718	8326
769	27754	8290
770	27793	8255
771	27826	8218
772	27864	8182
773	27903	8147
774	27938	8111
775	27978	8076
776	28013	8039
777	28048	8003
778	28084	7967
779	28120	7931
780	28155	7895
781	28192	7859
782	28225	7822
783	28261	7786
784	28293	7749
785	28326	7712
786	28359	7675
787	28402	7641
788	28436	7604
789	28473	7569
790	28509	7532
791	28544	7496
792	28580	7460
793	28612	7423
794	28645	7386
795	28683	7350
796	28719	7315
797	28756	7279
798	28796	7244
799	28832	7208
800	28864	7171
801	28903	7135
802	28938	7099
803	28978	7064
804	29013	7028
805	29047	6991
806	29084	6955
807	29120	6919
808	29157	6883
809	29193	6847
810	29231	6812
811	29260	6774
812	29296	6738
813	29329	6701
814	29361	6664
815	29400	6629
816	29435	6593
817	29469	6556
818	29506	6521
819	29546	6485
820	29581	6449
821	29618	6413
822	29651	6377
823	29683	6340
824	29719	6304
825	29752	6267
826	29788	6231
827	29824	6195
828	29860	6159
829	29890	6122
830	29922	6085
831	29956	6048
832	29984	6011
833	30019	5975
834	30057	5939
835	30086	5902
836	30120	5865
837	30151	5828
838	30183	5792
839	30217	5755
840	30248	5718
841	30282	5682
842	30315	5645
843	30350	5609
844	30386	5573
845	30421	5537
846	30454	5501
847	30485	5464
848	30519	5428
849	30552	5391
850	30584	5354
851	30618	5318
852	30653	5282
853	30682	5245
854	30718	5209
855	30750	5172
856	30785	5136
857	30818	5100
858	30851	5064
859	30884	5027
860	30915	4991
861	30950	4954
862	30983	4918
863	31018	4882
864	31051	4846
865	31082	4809
866	31116	4773
867	31150	4737
868	31184	4700
869	31216	4664
870	31255	4629
871	31285	4592
872	31317	4555
873	31351	4519
874	31385	4483
875	31415	4446
876	31448	4410
877	31480	4374
878	31514	4338
879	31551	4302
880	31583	4266
881	31615	4229
882	31651	4193
883	31683	4157
884	31719	4121
885	31748	4085
886	31783	4049
887	31817	4012
888	31852	3977
889	31884	3940
890	31914	3904
891	31953	3868
892	31985	3832
893	32014	3795
894	32046	3759
895	32082	3723
896	32119	3688
897	32149	3651
898	32180	3615
899	32218	3579
900	32247	3543
901	32279	3507
902	32311	3470
903	32344	3434
904	32377	3398
905	32416	3363
906	32445	3326
907	32479	3290
908	32513	3254
909	32541	3218
910	32575	3182
911	32608	3146
912	32643	3110
913	32677	3074
914	32713	3038
915	32745	3002
916	32780	2967
917	32818	2931
918	32848	2895
919	32883	2859
920	32917	2823
921	32950	2787
922	32985	2751
923	33022	2716
924	33058	2680
925	33096	2644
926	33134	2609
927	33166	2573
928	33198	2537
929	33234	2501
930	33270	2465
931	33309	2430
932	33341	2394
933	33374	2358
934	33409	2322
935	33444	2286
936	33480	2251
937	33519	2215
938	33555	2179
939	33590	2144
940	33624	2108
941	33657	2072
942	33693	2036
943	33729	2000
944	33760	1964
945	33797	1929
946	33831	1893
947	33867	1857
948	33903	1821
949	33941	1786
950	33975	1750
951	34013	1714
952	34048	1679
953	34083	1643
954	34122	1607
955	34155	1572
956	34191	1536
957	34228	1500
958	34262	1464
959	34299	1429
960	34335	1393
961	34368	1357
962	34407	1321
963	34441	1286
964	34474	1250
965	34511	1214
966	34548	1179
967	34583	1143
968	34620	1107
969	34653	1071
970	34684	1035
971	34721	1000
972	34753	964
973	34788	928
974	34825	892
975	34858	857
976	34894	821
